topic,website,intensity
AKAMAI CONTENT DELIVERY NETWORK (CDN),ravenwoodvet.net,HIGH
AKAMAI CONTENT DELIVERY NETWORK (CDN),rbskpartners.com,HIGH
AKAMAI CONTENT DELIVERY NETWORK (CDN),realestatelacrosse.com,HIGH
AKAMAI CONTENT DELIVERY NETWORK (CDN),recipe-easy.blogspot.co.uk,HIGH
AKAMAI CONTENT DELIVERY NETWORK (CDN),redbulltheshow.com,HIGH
AKAMAI CONTENT DELIVERY NETWORK (CDN),reddressshoppe.com,HIGH
SPF,ladonatella.com,HIGH
SPF,learningpostltd.com,HIGH
SPF,leighjournal.co.uk,HIGH
SPF,letsmakeascene.com,HIGH
MICROSOFT SHAREPOINT FOUNDATION,libertycolombia.com.co,HIGH
SPF,louisvillecityfc.com,HIGH
SPF,lucelaw.com,HIGH
SPF,magiccityharvest.org,HIGH
BAIDU,erigle.cn,HIGH
BAIDU,fangjinlong.cn,HIGH
BAIDU,fangshuishouji.com,HIGH
BAIDU,feasibly.cn,HIGH
MICROSOFT.NET,worthypublishing.com,LOW
PUPPET LABS,xlgaming.org,LOW
INFOLINKS,travelcatalog.info,HIGH
MICROSOFT.NET,zacchialaw.com,LOW
MICROSOFT.NET,zeppos.com,LOW
ONE-SYSTEM ERP,zerochaos.com,LOW
MICROSOFT.NET,zurigroup.com,LOW
MICROSOFT.NET,tspartnersinc.com,LOW
MICROSOFT.NET,tulsainspection.com,LOW
MICROSOFT.NET,txstatecatholic.org,LOW
INFOLINKS,unitedtravelbooking.com,HIGH
BRIGHTROLL,valleywx.com,HIGH
MICROSOFT.NET,variad.com,LOW
JQUERY,pinkpunters.com,HIGH
JQUERY,nutmegminiaturepoodles.com,HIGH
JQUERY,oakknoll.com,HIGH
JQUERY,ocl.com,HIGH
JQUERY,octacorp.com,HIGH
JQUERY,offbeatandinspired.com,HIGH
JQUERY,officialhomeartstudio.com,HIGH
NETEZZA,ohiodominican.edu,LOW
JQUERY,oktopus.me,HIGH
JQUERY,oneroofsaratoga.com,HIGH
GOOGLE ADWORDS,onespecialty.com,LOW
GOOGLE ADWORDS,oneworldofyoga.com,LOW
JQUERY,opef.org,HIGH
REALLY SIMPLE DISCOVERY,webgoals.co,HIGH
REALLY SIMPLE DISCOVERY,webmaui.net,HIGH
REALLY SIMPLE DISCOVERY,yourlegacylives.com,HIGH
REALLY SIMPLE DISCOVERY,yourvisionpartners.com,HIGH
REALLY SIMPLE DISCOVERY,yucaipatowinginc.com,HIGH
REALLY SIMPLE DISCOVERY,zahndrew.com,HIGH
REALLY SIMPLE DISCOVERY,zmandesigns.com,HIGH
REALLY SIMPLE DISCOVERY,zonetonfire.com,HIGH
SAP CRYSTAL REPORTS,medtechgases.com,LOW
SAP CRYSTAL REPORTS,meridianhealthvillage.com,LOW
SAP CRYSTAL REPORTS,milleraa.com,LOW
LIJIT,modelmayhem.com,HIGH
SAP CRYSTAL REPORTS,moneymart.ca,MEDIUM
ZEN CART,moonstonebooks.com,LOW
CAMERA SLIDESHOW,mountlakecasino.com,HIGH
SAP CRYSTAL REPORTS,myevent.com,LOW
SAP CRYSTAL REPORTS,meyertool.com,LOW
VIDEOJS,wibc.com,HIGH
VIDEOJS,yonkodoradio.com,HIGH
WIX PREMIUM,myswiftbody.com,HIGH
AMAZON DYNAMODB,nationalmssociety.org,LOW
COMODO POSITIVESSL,curnblog.com,HIGH
LODASH,davescomputertips.com,HIGH
COMODO POSITIVESSL,dealerssupply.net,HIGH
GITHUB,nflfilms.com,LOW
YODLE,pasadenataxpreparer.com,HIGH
GITHUB,pillpack.com,MEDIUM
WEBPACK,musemonthly.com,HIGH
MICROSOFT VIRTUAL SERVER,mwc-engr.com,LOW
WEBPACK,ncs.com,HIGH
WEBPACK,netenergytes.com,HIGH
EVEREST TECHNOLOGIES,farfetch.com,HIGH
ADSMARKET,diyfrugal.com,HIGH
ALLSCRIPTS,domadesign.com.br,LOW
COMSCORE,atlantadream.net,HIGH
COMSCORE,avinetworks.com,HIGH
ORACLE MANUFACTURING,avon.it,LOW
PTC MATHCAD,elitehotshot.com,LOW
SAP CRM,enterprisespectrum.com,LOW
CODEIGNITER,epsilonplus.fr,LOW
PTC MATHCAD,ericksonconsultingengineers.com,MEDIUM
MICROSOFT AZURE,covenanthousepa.org,HIGH
MICROSOFT AZURE,cresap.com,HIGH
MICROSOFT AZURE,crmeyer.com,HIGH
MICROSOFT AZURE,cue4success.com,HIGH
MICROSOFT AZURE,cusd50.org,HIGH
MICROSOFT AZURE,cutstudentloandebt.com,HIGH
MICROSOFT AZURE,debthelper.com,HIGH
YAHOO ANALYTICS,c3solutions.com,HIGH
DEVICE WIDTH,koonsauto.com,HIGH
DEVICE WIDTH,kyontracker.com,HIGH
DEVICE WIDTH,lagallerialb.com,HIGH
DEVICE WIDTH,lakegenevacountrymeats.com,HIGH
DEVICE WIDTH,lakesidedentaltx.com,HIGH
DEVICE WIDTH,lakewestsnf.com,HIGH
DEVICE WIDTH,lan-services.nl,HIGH
DEVICE WIDTH,lavieabondante.org,HIGH
DEVICE WIDTH,layherna.com,HIGH
DEVICE WIDTH,leonesvenice.com,HIGH
DEVICE WIDTH,leslaundry.com,HIGH
LIJIT,supdie.com,HIGH
LIJIT,surfing-waves.com,HIGH
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",teletechinsights.com,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",texasbandmasters.org,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",thephoenix.com,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",tpcg.org,LOW
"IBM DB2 DATABASE SERVER FOR LINUX, UNIX, AND WINDOWS (UDB)",transcendentendeavors.com,LOW
JQUERY 1.3.1,hopkinsvillelawyers.com,HIGH
WORDPRESS DAILY ACTIVITY,teamstrength.com,HIGH
SGI RACKSPACE MAILGUN,webworkzdigital.com,HIGH
